"key";"creationDate";"modificationDate";"ca";"cs";"de";"en";"es";"fa";"fr";"it";"ja";"nl";"pl";"pt";"pt_BR";"ru";"sk";"sv";"tr";"uk";"zh_Hans"
"addresses";1453891958;1456133835;"";"";"Adressen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"allow order";1456132528;1456133835;"";"";"Bestellung erlauben";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"amount";1456133159;1456133835;"";"";"Menge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"article number";1456130174;1456133835;"";"";"Artikelnummer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"available for order";1456129890;1456133835;"";"";"Zum Verkauf verfügbar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"billing address";1456132164;1456133835;"";"";"Rechnungsadresse";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"carrier";1456132149;1456133835;"";"";"Versanddienst";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"categories";1456130181;1456133835;"";"";"Kategorien";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"city";1456132537;1456133835;"";"";"Stadt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"coreshop";1456130150;1456133835;"";"";"CoreShop";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"coreshopcart";1456130152;1456133835;"";"";"Warenkorb";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"coreshopcartitem";1456130154;1456133835;"";"";"Warenkorb-Item";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"coreshopcategory";1456130155;1456133835;"";"";"Kategorie";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"coreshoporder";1456130157;1456133835;"";"";"Bestellung";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"coreshoporderitem";1456130159;1456133835;"";"";"Bestellung-Item";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"coreshoppayment";1456130160;1456133835;"";"";"Bezahlung";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"coreshopproduct";1456130162;1456133835;"";"";"Produkt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"coreshopuser";1456130164;1456133835;"";"";"Kunde";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"coreshopuseraddress";1456132179;1456133835;"";"";"Kunden Adresse";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"country";1456132173;1456133835;"";"";"Land";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"custom properties";1456130198;1456133835;"";"";"Eigenschaften";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"customer";1456132162;1456133836;"";"";"Kunde";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"date of payment";1456133213;1456133836;"";"";"Datum der Bezahlung";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"default";1456130183;1456133836;"";"";"Standard";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"deny order";1456130186;1456133836;"";"";"Bestellung ablehnen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"depth";1456133006;1456133836;"";"";"Tiefe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"description";1456130178;1456133836;"";"";"Beschreibung";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"details";1456129766;1456133836;"";"";"Details";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"dimensions";1459261056;1459261079;"";"";"Maße";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"discount";1456132151;1456133836;"";"";"Rabatt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ean";1456129885;1456133836;"";"";"EAN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"enabled";1456129888;1456133836;"";"";"Aktiv";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"extra";1456132166;1456133836;"";"";"Zusatz";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
