"key";"creationDate";"modificationDate";"ca";"creationDa";"cs";"de";"en";"es";"fa";"fr";"it";"ja";"modificati";"nl";"pl";"pt";"pt_BR";"ru";"sk";"sv";"tr";"uk";"zh_Hans"
"addresses";1453891958;1456129745;"";"1453892";"";"Adressen";"";"";"";"";"";"";"1453892";"";"";"";"";"";"";"";"";"";""
"allow order";1456132528;1456133351;"";"1456133";"";"Bestellung erlauben";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"amount";1456133159;1456133353;"";"1456133";"";"Menge";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"article number";1456130174;1456130180;"";"1456130";"";"Artikelnummer";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"available for order";1456129890;1456130069;"";"1456130";"";"Zum Verkauf verfügbar";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"beschreibung";1456132526;1456132526;"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";""
"billing address";1456132164;1456132351;"";"1456132";"";"Rechnungsadresse";"";"";"";"";"";"";"1456132";"";"";"";"";"";"";"";"";"";""
"breite";1456130192;1456130244;"";"1456130";"";"Breite";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"carrier";1456132149;1456132215;"";"1456132";"";"Versanddienst";"";"";"";"";"";"";"1456132";"";"";"";"";"";"";"";"";"";""
"categories";1456130181;1456130247;"";"1456130";"";"Kategorien";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"city";1456132537;1456133357;"";"1456133";"";"Stadt";"";"";"";"";"";"";"1456133";"";"";"";"";"";"";"";"";"";""
"classifcation store";1456132530;1456132530;"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";""
"classification store";1456132531;1456132531;"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";""
"company";1456132533;1456132533;"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";""
"coreshop";1456130150;1456130184;"";"1456130";"";"CoreShop";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"coreshopcart";1456130152;1456130186;"";"1456130";"";"Warenkorb";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"coreshopcartitem";1456130154;1456130192;"";"1456130";"";"Warenkorb-Item";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"coreshopcategory";1456130155;1456130195;"";"1456130";"";"Kategorie";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"coreshoporder";1456130157;1456130206;"";"1456130";"";"Bestellung";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"coreshoporderitem";1456130159;1456130210;"";"1456130";"";"Bestellung-Item";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"coreshoppayment";1456130160;1456130214;"";"1456130";"";"Bezahlung";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
"coreshoppaymentpaypal";1456133215;1456133215;"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";""
"coreshoppaymentsofortueberweisung";1456133215;1456133215;"";;"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";""
"coreshopproduct";1456130162;1456130218;"";"1456130";"";"Produkt";"";"";"";"";"";"";"1456130";"";"";"";"";"";"";"";"";"";""
