"coreshop", "CoreShop"
"coreshop_name","CoreShop Plugin"
"coreshop_installed_successfully","CoreShop plugin wurde erfolgreich installiert. Bitte laden Sie Pimcore neu"
"coreshop_install_failed","CoreShop konnte nicht installiert werden. Bitte überprüfen Sie die Logs."
"coreshop_uninstalled_successfully","CoreShop wurde erfolgreich installiert. Bitte laden Sie Pimcore neu!"
"coreshop_uninstall_failed","CoreShop konnte nicht deinstalliert werden. Bitte überprüfen Sie die Logs."
"coreshop_save_success","Element wurde erfolgreich gespeichert."
"coreshop_save_error","Fehler beim speichern des Elements."
"coreshop_loading", "CoreShop lädt"
"coreshop_loaded", "CoresShop Version {0}"
"coreshop_settings","Einstellungen"
"coreshop_product","Produkt"
"coreshop_product_daysasnew","Tage des Produkts als 'neu'"
"coreshop_category","Kategory"
"coreshop_default_image","Standard Bild"
"coreshop_base","Standards"
"coreshop_base_currency","Standard Währung"
"coreshop_base_country","Standard Land"
"coreshop_settings_save_success","Erfolgreich gespeichert"
"coreshop_settings_save_error","Einstellungen konnten nicht gespeichert werden"
"coreshop_localization","Lokalisierung"
"coreshop_currencies","Währungen"
"coreshop_currencies_add","Neue Währung"
"coreshop_currencies_enter_the_name","Name der neuen Währung"
"coreshop_currency","Währung"
"coreshop_currency_name","Name"
"coreshop_currency_isoCode","ISO Kennzeichnung"
"coreshop_currency_numericIsoCode", "Nummerischer ISO"
"coreshop_currency_symbol","Symbol"
"coreshop_currency_exchangeRate","Wechselkurs"
"coreshop_currency_creation_error","Fehler beim erstellen der Währung"
"coreshop_countries","Länder"
"coreshop_countries_add","Neues Land"
"coreshop_countries_enter_the_name","Name des neuen Landes"
"coreshop_country","Land"
"coreshop_country_name","Name"
"coreshop_country_isoCode","ISO Kennzeichnung"
"coreshop_country_active","Aktiv"
"coreshop_country_currency", "Währung"
"coreshop_country_zone", "Zone"
"coreshop_country_creation_error","Fehler beim erstellen des Landes"
"coreshop_country_multiselect", "Land Multiselect"
"coreshop_currency_multiselect", "Währung Multiselect"
"coreshop_cart_create_order","Bestellung erstellen"
"coreshop_pricerules","Preisregeln"
"coreshop_pricerules_add", "Hinzufügen"
"coreshop_pricerules_enter_the_name","Name der neuen Preisregel"
