"coreshop", "CoreShop"
"coreshop_name","CoreShop Plugin"
"coreshop_installed_successfully","CoreShop plugin installed successfully. Please don't forget to reload pimcore!"
"coreshop_install_failed","Could not install CoreShop plugin. See log for more details."
"coreshop_uninstalled_successfully","Successfully uninstalled CoreShop plugin. Please don't forget to reload pimcore!"
"coreshop_uninstall_failed","Could not uninstall CoreShop plugin. See log for more details."
"corehop_latest_version_already_installed","You have installed the latest version of CoreShop."
"coreshop_save_success","Item has been successfully saved"
"coreshop_enter_the_name","Enter the name"
"coreshop_save_error","Error saving item"
"coreshop_loading", "CoreShop is loading"
"coreshop_loaded", "CoreShop Version {0}"
"coreshop_settings","Settings"
"coreshop_product","Product"
"coreshop_product_count","Product(s)"
"coreshop_product_daysasnew","Number of days as 'new'"
"coreshop_category","Category"
"coreshop_default_image","Default Image"
"coreshop_base","Base"
"coreshop_base_currency","Base Currency"
"coreshop_base_country","Base Country"
"coreshop_settings_save_success","Successfully saved"
"coreshop_settings_save_error","Error saving settings"
"coreshop_localization","Localization"
"coreshop_currencies","Currencies"
"coreshop_currency","Currency"
"coreshop_currency_name","Name"
"coreshop_currency_isoCode","ISO Code"
"coreshop_currency_numericIsoCode", "Numeric ISO Code"
"coreshop_currency_symbol","Symbol"
"coreshop_currency_exchangeRate","Exchange Rate"
"coreshop_currency_creation_error","Error creating Currency"
"coreshop_countries","Countries"
"coreshop_country","Country"
"coreshop_country_name","Name"
"coreshop_country_isoCode","ISO Code"
"coreshop_country_active","Active"
"coreshop_country_currency", "Currency"
"coreshop_country_zone", "Zone"
"coreshop_country_creation_error","Error creating Country"
"coreshop_country_multiselect", "Country Multiselect"
"coreshop_currency_multiselect", "Currency Multiselect"
"coreshop_cart_create_order","Create Order"
"coreshop_pricerules","Price Rules"
"coreshop_cart_pricerules","Cart Price Rules"
"coreshop_condition_amount","Amount"
"coreshop_condition_amount_minAmount","Min Amount"
"coreshop_condition_amount_maxAmount","Max Amount"
"coreshop_condition_amount_currency","Currency"
"coreshop_condition_quantity","Quantity"
"coreshop_condition_quantity_minQuantity","Min Quantity"
"coreshop_condition_quantity_maxQuantity","Max Quantity"
"coreshop_condition_categories","Categories"
"coreshop_condition_category_category","Category"
"coreshop_condition_customers","Customers"
"coreshop_condition_customer_customer","Customer"
"coreshop_condition_currencies","Currencies"
"coreshop_condition_countries","Countries"
"coreshop_condition_country_country","Country"
"coreshop_condition_product_product","Product"
"coreshop_condition_products","Products"
"coreshop_condition_timeSpan", "Time Span"
"coreshop_condition_timeSpan_dateFrom", "Date From"
"coreshop_condition_timeSpan_dateTo", "Date To"
"coreshop_condition_totalAvailable", "Total Available",
"coreshop_condition_totalAvailable_totalAvailable", "Total",
"coreshop_condition_totalAvailable_totalUsed","Used"
"coreshop_condition_totalPerCustomer","Total Per Customer",
"coreshop_condition_totalPerCustomer_total", "Total"
"coreshop_condition_customerGroup","Customer Group"
"coreshop_condition_customerGroups","Customer Groups"
"coreshop_condition_zones","Zones"
"coreshop_condition_zone_zone", "Zone"
"coreshop_action_freeShipping", "Free Shipping"
"coreshop_action_discountAmount", "Discount Amount"
"coreshop_action_discountAmount_amount", "Amount"
"coreshop_action_discountAmount_currency", "Currency"
"coreshop_action_discountPercent", "Discount Percent"
"coreshop_action_discountPercent_percent", "Percent"
"coreshop_action_discountPercent_currency", "Currency"
"coreshop_action_gift", "Gift"
"coreshop_action_gift_product", "Product"
"coreshop_action_newPrice","New Price"
"highlight","Highlight"
"coreshop_zones","Zones"
"coreshop_zone","Zone"
"coreshop_zone_name","Name"
"coreshop_zone_active","Active"
"coreshop_priceRule","Cart Price Rule"
"coreshop_shipping","Shipping"
"coreshop_carriers","Carriers"
"coreshop_carrier_multiselect", "Carrier Multiselect"
"coreshop_carrier","Carrier"
"coreshop_carrier_label","Label"
"coreshop_carrier_delay","Delay"
"coreshop_carrier_grade","Grade"
"coreshop_carrier_image","Image"
"coreshop_carrier_trackingUrl","Tracking Url"
"coreshop_carrier_tracking_code","Tracking-Number"
"coreshop_carrier_shipping_locations_and_costs", "Shipping locations and costs"
"coreshop_carrier_isFree","Free Shipping"
"coreshop_carrier_shippingMethod","Shipping Method"
"coreshop_carrier_shippingMethod_price","Price"
"coreshop_carrier_shippingMethod_weight","Weight"
"coreshop_carrier_tax","Tax"
"coreshop_carrier_rangeBehaviour","When no rule found"
"coreshop_carrier_rangeBehaviour_largest","Apply the cost of the highest defined rule"
"coreshop_carrier_rangeBehaviour_deactivate","Disable carrier"
"coreshop_carrier_dimensions","Dimensions"
"coreshop_carrier_maxWidth","Max. Width"
"coreshop_carrier_maxHeight","Max. Height"
"coreshop_carrier_maxWeight","Max. Weight"
"coreshop_carrier_maxDepth","Max. Depth"
"coreshop_carrier_delimeter1","From Span >="
"coreshop_carrier_delimeter2","To Span <"
"coreshop_carrier_price","Price"
"coreshop_carrier_range", "Range"
"coreshop_carrier_tax_rule_group","Tax Rule Group"
"coreshop_install","Install CoreShop"
"coreshop_install_confirm","Do you really want to install CoreShop?"
"coreshop_template","Template"
"coreshop_template_name","Template Name"
"coreshop_invoice","Invoice"
"coreshop_invoice_create","Create Invoice for new Orders"
"coreshop_suffix","Suffix"
"coreshop_prefix","Prefix"
"coreshop_mail","Mail Settings"
"coreshop_mail_order_notification","admin email-addresses to send order notification (CSV)"
"coreshop_mail_order_bbc","Send OrderStates as BBC to admin email-addresses"
"coreshop_order","Order"
"coreshop_orderstates","Order States"
"coreshop_order_state","Order State"
"coreshop_order_state_accepted","Accepted"
"coreshop_order_state_shipped","Shipped"
"coreshop_order_state_paid","Paid"
"coreshop_order_state_invoice","Invoice"
"coreshop_order_state_email","Email"
"coreshop_order_state_emailDocument","Email Document"
"coreshop_order_state_color","Color"
"coreshop_update","Update"
"coreshop_latest_version_already_installed","Latest CoreShop Version is already installed."
"coreshop_server_is_currently_offline","CoreShop Update Server currently offline."
"coreshop_permission_carriers","CoreShop Carrier"
"coreshop_permission_zones","CoreShop Zones"
"coreshop_permission_settings","CoreShop Settings"
"coreshop_permission_price_rules","CoreShop Cart Price Rules"
"coreshop_permission_order_states","CoreShop Order States"
"coreshop_permission_currencies","CoreShop Currencies"
"coreshop_permission_countries","CoreShop Countries"
"coreshop_permission_taxes","CoreShop Taxes"
"coreshop_permission_tax_rules","CoreShop Tax Rules"
"coreshop_permission_filters","CoreShop Filters"
"coreshop_permission_indexes","CoreShop Indexes"
"coreshop_permission_plugins","CoreShop Plugins"
"coreshop_permission_shops","CoreShop Shops"
"coreshop_permission_states","CoreShop States"
"coreshop_permission_messaging_contact","CoreShop Customer Service Contacts"
"coreshop_permission_messaging_thread_state","CoreShop Customer Service State"
"coreshop_permission_product_price_rules","CoreShop Product Pricerules"
"coreshop_base_catalogmode","Catalog Mode"
"coreshop_base_guestcheckout","Guest Checkout"
"coreshop_taxes","Taxes"
"coreshop_tax_rate","Rate"
